字詞		中文釋義		考題
respect		[動詞] 尊敬; [名詞] 尊敬		
responsible		[形容詞] 負責任的		
result		[動詞] 發生,產生;結果;導致; [名詞] 結果		
return		[動詞] 回;還; [名詞] 回答;收益;利息;來回票;退貨		
review		[動詞] 溫習;回顧; [名詞] 復習		3
revise		[動詞] 校訂;更改		
rob		[動詞] 搶劫		
role		[名詞] 角色		
roller		[名詞] 滾筒		
roof		[動詞] 給...蓋屋頂,覆蓋; [名詞] 屋頂		1
rub		[動詞] 磨擦; [名詞] 摩擦,擦;阻難;疑難點		
rubber		[形容詞] 橡膠製成的; [名詞] 橡膠		
rude		[形容詞] 無禮的		
ruin		[動詞] 毀滅; [名詞] 毀滅;崩潰;廢墟;傾家蕩產		
rush		[動詞] 催促;急送; [名詞] 急速行動;(交通等的)繁忙;搶購		1
safety		[名詞] 安全		1
sailor		[名詞] 水手		
sample		[動詞] 取...的樣品;抽樣檢查; [名詞] 樣品		
sand		[動詞] 磨光;以沙堵塞; [名詞] 沙		1
satisfy		[動詞] 使滿意		
saucer		[名詞] 淺碟		
scarf		[名詞] 圍巾		
scene		[名詞] 景色;場面		
scenery		[名詞] 風景		
scientist		[名詞] 科學家		
score		[動詞] 得分; [名詞] 得分; 二十; 刻痕; 樂譜		1
seafood		[名詞] 海產食品		1
